Vaccination,ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered,Population,Danger Level
78897,1579651200,168,29,1,0,0,31444,0
95731,1579651200,557,29,14,0,0,37348,0
20251,1579651200,28,29,6,0,0,40262,0
20186,1579651200,103,29,1,0,0,37492,0
36039,1579651200,109,29,0,0,0,39749,0
24497,1579651200,132,29,26,0,0,38295,0
67333,1579651200,133,29,2,0,0,38706,0
44211,1579651200,137,29,1,0,0,29784,0
13664,1579651200,140,29,4,0,0,31994,0
17348,1579651200,149,29,1,0,0,40302,0
89664,1579651200,150,29,0,0,0,34357,0
37061,1579651200,151,29,5,0,0,36286,0
34586,1579651200,160,215,0,0,0,27202,0
94918,1579651200,164,29,444,17,28,37476,0
31389,1579651200,169,29,4,0,0,31176,0
99097,1579651200,177,29,0,0,0,31172,0
61367,1579651200,198,29,1,0,0,30018,0
98152,1579651200,199,29,2,0,0,40345,0
10347,1579651200,200,29,0,0,0,38997,0
43790,1579651200,264,29,2,0,0,38638,0
58407,1579651200,280,27,1,0,0,35253,0
90600,1579651200,371,29,1,0,0,39739,0
20049,1579651200,458,29,0,0,0,32061,0
73893,1579651200,526,29,0,0,0,31676,0
91647,1579651200,527,29,2,0,0,40164,0
87241,1579651200,528,29,9,0,0,37937,0
38818,1579651200,529,29,1,0,0,39271,0
99971,1579651200,536,29,5,0,0,31880,0
90685,1579651200,569,108,1,0,0,34832,0
20483,1579651200,583,29,4,0,0,28886,0
56661,1579651200,584,29,0,0,0,38326,0
16328,1579651200,660,122,1,0,0,31495,0
82102,1579651200,675,29,0,0,0,35158,0
86417,1579651200,685,29,1,0,0,29894,0
51858,1579651200,692,29,10,0,0,39981,0
46360,1579651200,112,7,2,0,0,38665,0
60074,1579651200,112,111,2,0,0,30043,0
25560,1579651200,112,97,1,0,0,39108,0
99886,1579737600,168,29,9,0,0,39315,0
59687,1579737600,557,29,22,0,0,36876,0
18889,1579737600,28,29,9,0,0,33559,0
69918,1579737600,103,29,5,0,0,38331,0
37870,1579737600,109,29,2,0,0,35980,0
19367,1579737600,132,29,32,0,2,38792,0
68493,1579737600,133,29,5,0,0,39292,0
47315,1579737600,137,29,3,0,0,40215,0
16862,1579737600,140,29,5,0,0,31414,0
73771,1579737600,149,29,1,1,0,45453,1
28841,1579737600,150,29,2,0,0,45453,1
84903,1579737600,151,29,5,0,0,45453,1
41897,1579737600,160,215,2,0,0,45453,1
81576,1579737600,164,29,444,17,28,27120,0
17784,1579737600,169,29,9,0,0,27120,0
67858,1579737600,177,29,0,0,0,27120,0
66103,1579737600,198,29,5,0,0,27120,0
86317,1579737600,199,29,7,0,0,27120,0
96041,1579737600,200,29,1,0,0,27120,0
49045,1579737600,264,29,3,0,0,27120,0
72128,1579737600,280,27,2,0,0,27120,0
98490,1579737600,371,29,1,0,0,27120,0
58788,1579737600,458,29,0,0,0,27120,0
39945,1579737600,526,29,3,0,0,27120,0
59843,1579737600,527,29,6,0,0,27120,0
84724,1579737600,528,29,16,0,0,27120,0
63469,1579737600,529,29,1,0,0,27120,0
86711,1579737600,536,29,8,0,0,27120,0
65551,1579737600,569,108,1,0,0,27120,0
24371,1579737600,583,29,4,0,0,27120,0
70024,1579737600,584,29,0,0,0,27120,0
49904,1579737600,660,122,1,0,0,27120,0
22077,1579737600,675,29,2,0,0,27120,0
13704,1579737600,685,29,2,0,0,27120,0
16693,1579737600,692,29,27,0,0,27120,0
96776,1579737600,112,7,1,0,0,27120,0
71825,1579737600,112,111,3,0,0,27120,0
37904,1579737600,112,97,1,0,0,27120,0
34682,1579737600,112,92,1,0,0,27120,0
36178,1579737600,112,67,0,0,0,27120,0
73906,1579737600,112,31,0,0,0,27120,0
22076,1579737600,112,131,2,0,0,27120,0
49547,1579737600,112,13,0,0,0,27120,0
17041,1579737600,112,40,0,0,0,27120,0
44407,1579737600,112,143,0,0,0,27120,0
71951,1579737600,112,161,0,0,0,27120,0
14858,1579824000,164,29,549,24,31,29651,0
88639,1579824000,132,29,53,0,2,29651,0
99229,1579824000,692,29,43,0,1,29651,0
55781,1579824000,557,29,36,0,1,29651,0
92657,1579824000,28,29,27,0,0,29651,0
74585,1579824000,169,29,24,0,0,29651,0
40542,1579824000,133,29,23,0,0,29651,0
57251,1579824000,528,29,20,0,1,29651,0
19161,1579824000,199,29,18,0,0,29651,0
34431,1579824000,536,29,15,0,0,29651,0
23342,1579824000,527,29,15,0,0,29651,0
79300,1579824000,168,29,15,0,0,29651,0
93655,1579824000,103,29,10,0,0,29651,0
98281,1579824000,151,29,9,0,0,29651,0
87934,1579824000,198,29,9,0,0,29651,0
81332,1579824000,140,29,8,0,0,29651,0
59269,1579824000,583,29,8,0,0,29651,0
32921,1579824000,685,29,5,0,0,29651,0
18544,1579824000,526,29,5,0,0,29651,0
14361,1579824000,150,29,4,1,0,45377,1
20070,1579824000,264,29,4,0,0,45377,1
53907,1579824000,137,29,3,0,0,45377,1
42357,1579824000,200,29,3,0,0,45377,1
40302,1579824000,569,108,3,0,0,45377,1
38344,1579824000,371,29,2,0,0,45377,1
92636,1579824000,160,215,2,0,0,45377,1
21030,1579824000,280,27,2,0,0,45377,1
72577,1579824000,149,29,2,1,0,45448,1
89550,1579824000,109,29,2,0,0,45448,1
34320,1579824000,675,29,2,0,0,45448,1
42192,1579824000,529,29,1,0,0,45448,1
48450,1579824000,177,29,1,0,0,45448,1
96292,1579824000,458,29,0,0,0,45448,1
66057,1579824000,660,122,1,0,0,45448,1
22073,1579824000,23,122,1,0,0,45448,1
16399,1579824000,112,7,2,0,0,45448,1
81750,1579824000,112,111,5,0,0,45448,1
98973,1579824000,112,97,2,0,0,45448,1
92425,1579824000,112,92,3,0,0,45448,1
68668,1579824000,112,131,2,0,0,45448,1
64088,1579824000,112,191,2,0,0,45448,1
54673,1579910400,164,29,761,40,32,33274,0
69402,1579910400,132,29,78,0,2,33274,0
23811,1579910400,692,29,62,0,1,33274,0
77689,1579910400,28,29,57,0,0,33274,0
38425,1579910400,169,29,43,0,0,33274,0
36124,1579910400,557,29,41,0,2,33274,0
71286,1579910400,168,29,39,0,0,33274,0
33817,1579910400,528,29,33,0,1,33274,0
75405,1579910400,151,29,32,0,0,33274,0
94857,1579910400,536,29,28,0,0,33274,0
75514,1579910400,527,29,27,0,0,33274,0
90487,1579910400,133,29,23,0,0,33274,0
32431,1579910400,140,29,19,0,0,33274,0
53413,1579910400,199,29,18,0,0,33274,0
50307,1579910400,103,29,18,0,0,33274,0
41797,1579910400,198,29,18,0,1,33274,0
78322,1579910400,264,29,17,0,0,33274,0
91533,1579910400,526,29,15,0,0,33274,0
96784,1579910400,685,29,11,0,0,33274,0
33113,1579910400,583,29,10,0,0,33274,0
53698,1579910400,150,29,9,1,0,41895,1
79211,1579910400,149,29,8,1,0,42744,1
23765,1579910400,177,29,7,0,0,42744,1
94343,1579910400,529,29,6,0,0,42744,1
90440,1579910400,160,215,5,0,0,42744,1
14787,1579910400,137,29,4,0,0,42744,1
40675,1579910400,200,29,4,0,0,42744,1
51897,1579910400,109,29,4,0,0,42744,1
23625,1579910400,371,29,3,0,0,42744,1
74982,1579910400,569,108,3,0,0,42744,1
23486,1579910400,675,29,3,0,0,42744,1
37771,1579910400,280,27,2,0,0,42744,1
54023,1579910400,458,29,1,0,0,42744,1
59858,1579910400,660,122,1,0,0,42744,1
93744,1579910400,174,122,1,0,0,42744,1
64994,1579910400,112,7,2,0,0,42744,1
20904,1579910400,112,111,7,0,0,42744,1
42215,1579910400,112,97,2,0,0,42744,1
61448,1579910400,112,92,3,0,0,42744,1
75444,1579910400,112,131,2,0,0,42744,1
87322,1579910400,112,191,3,0,0,42744,1
27122,1579910400,112,13,4,0,0,42744,1
43556,1579910400,112,49,1,0,0,42744,1
58465,1579910400,112,31,3,0,0,42744,1
78612,1579996800,164,29,1058,52,42,32007,0
57697,1579996800,132,29,111,0,2,32007,0
79181,1579996800,692,29,104,0,1,32007,0
18298,1579996800,151,29,83,1,0,9642,0
22004,1579996800,28,29,75,0,0,9642,0
90811,1579996800,169,29,69,0,0,9642,0
89690,1579996800,557,29,68,0,2,9642,0
16092,1579996800,168,29,60,0,0,9642,0
94385,1579996800,527,29,46,0,0,9642,0
41876,1579996800,536,29,44,0,0,9642,0
55318,1579996800,528,29,40,1,1,20146,0
55031,1579996800,133,29,36,0,0,20146,0
30299,1579996800,199,29,36,0,0,20146,0
65107,1579996800,103,29,35,0,0,20146,0
98912,1579996800,198,29,33,0,1,20146,0
34818,1579996800,140,29,22,0,0,20146,0
12074,1579996800,526,29,22,0,0,20146,0
48965,1579996800,264,29,21,0,0,20146,0
71543,1579996800,685,29,16,0,0,20146,0
32482,1579996800,150,29,15,1,0,36706,0
27650,1579996800,583,29,14,0,0,36706,0
15860,1579996800,149,29,13,1,0,38157,0
46464,1579996800,529,29,9,0,0,38157,0
12885,1579996800,160,215,8,0,0,38157,0
49120,1579996800,177,29,7,0,0,38157,0
99929,1579996800,109,29,7,0,0,38157,0
98345,1579996800,137,29,5,0,0,38157,0
89185,1579996800,280,27,5,0,0,38157,0
31840,1579996800,371,29,4,0,0,38157,0
10004,1579996800,200,29,4,0,0,38157,0
66798,1579996800,569,108,4,0,0,38157,0
43150,1579996800,675,29,4,0,0,38157,0
32856,1579996800,458,29,1,0,0,38157,0
72789,1579996800,660,122,1,0,0,38157,0
53962,1579996800,174,122,1,0,0,38157,0
50751,1579996800,710,122,2,0,0,38157,0
67276,1579996800,279,122,1,0,0,38157,0
12407,1579996800,112,7,4,0,1,38157,0
27628,1579996800,112,111,8,0,2,38157,0
17949,1579996800,112,97,3,0,0,38157,0
42193,1579996800,112,92,4,0,0,38157,0
81124,1579996800,112,131,2,0,0,38157,0
30725,1579996800,112,191,3,0,0,38157,0
89747,1579996800,112,13,4,0,0,38157,0
86938,1579996800,112,49,1,0,0,38157,0
78464,1579996800,112,31,4,0,0,38157,0
11833,1579996800,408,153,1,0,0,38157,0
89103,1580083200,164,29,1423,76,45,33526,0
70676,1580083200,132,29,151,0,4,33526,0
50853,1580083200,692,29,128,0,1,33526,0
18075,1580083200,151,29,128,1,0,5654,0
68350,1580083200,28,29,110,0,0,5654,0
59631,1580083200,169,29,100,0,0,5654,0
34571,1580083200,557,29,80,1,2,10062,0
67348,1580083200,527,29,75,0,0,10062,0
82829,1580083200,199,29,72,0,2,10062,0
41513,1580083200,168,29,70,0,0,10062,0
71967,1580083200,536,29,69,0,0,10062,0
84846,1580083200,103,29,59,0,0,10062,0
45942,1580083200,528,29,53,1,3,15788,0
30977,1580083200,198,29,47,0,1,15788,0
83630,1580083200,133,29,46,0,0,15788,0
49569,1580083200,526,29,35,0,0,15788,0
62753,1580083200,140,29,33,1,0,23360,0
25549,1580083200,264,29,27,0,0,23360,0
89001,1580083200,685,29,26,0,0,23360,0
32401,1580083200,583,29,23,0,0,23360,0
44903,1580083200,150,29,21,1,0,31307,0
42548,1580083200,149,29,18,1,0,34170,0
15573,1580083200,109,29,14,0,0,34170,0
50902,1580083200,529,29,13,0,0,34170,0
14783,1580083200,177,29,11,0,0,34170,0
77204,1580083200,160,215,8,0,0,34170,0
69751,1580083200,137,29,7,0,0,34170,0
20302,1580083200,371,29,7,0,0,34170,0
29089,1580083200,200,29,6,0,0,34170,0
65213,1580083200,280,27,6,0,0,34170,0
77377,1580083200,458,29,6,0,0,34170,0
54519,1580083200,569,108,5,0,0,34170,0
11285,1580083200,675,29,5,0,0,34170,0
71717,1580083200,660,122,1,0,0,34170,0
95407,1580083200,174,122,1,0,0,34170,0
39036,1580083200,710,122,2,0,0,34170,0
62633,1580083200,279,122,1,0,0,34170,0
49651,1580083200,112,7,4,0,1,34170,0
40952,1580083200,112,111,8,0,2,34170,0
37855,1580083200,112,97,4,0,0,34170,0
67078,1580083200,112,92,5,0,0,34170,0
12465,1580083200,112,131,2,0,0,34170,0
88797,1580083200,112,191,3,0,0,34170,0
20844,1580083200,112,49,1,0,0,34170,0
97668,1580083200,112,31,4,0,0,34170,0
74945,1580083200,408,153,1,0,0,34170,0
29308,1580083200,112,151,1,0,0,34170,0
27849,1580083200,112,100,1,0,0,34170,0
40278,1580083200,112,5,1,0,0,34170,0
12368,1580083200,363,13,4,0,0,34170,0
30730,1580083200,644,13,1,0,0,34170,0
43195,1580169600,164,29,3554,125,80,25701,0
75729,1580169600,132,29,207,0,4,25701,0
25840,1580169600,692,29,173,0,3,25701,0
44049,1580169600,151,29,168,1,0,3776,0
19209,1580169600,169,29,143,0,0,0,0
77315,1580169600,28,29,132,0,0,0,0
29703,1580169600,199,29,109,0,3,0,0
35913,1580169600,168,29,106,0,0,0,0
78226,1580169600,527,29,95,0,0,0,0
97927,1580169600,557,29,91,1,4,8608,0
54689,1580169600,536,29,90,0,0,0,0
97132,1580169600,103,29,80,0,0,0,0
28994,1580169600,198,29,70,0,1,0,0
41130,1580169600,528,29,66,1,4,12573,0
50805,1580169600,133,29,51,0,2,0,0
42821,1580169600,526,29,46,0,0,0,0
75363,1580169600,685,29,44,0,0,0,0
72214,1580169600,140,29,40,1,0,20146,0
44974,1580169600,264,29,34,0,0,0,0
15640,1580169600,149,29,33,1,0,23360,0
78274,1580169600,150,29,33,1,0,23360,0
51896,1580169600,529,29,27,0,0,0,0
78075,1580169600,583,29,24,0,0,0,0
57581,1580169600,109,29,19,0,0,0,0
78373,1580169600,177,29,15,0,0,0,0
67989,1580169600,371,29,11,0,0,0,0
47196,1580169600,675,29,10,0,0,0,0
67737,1580169600,137,29,9,0,0,0,0
93198,1580169600,200,29,8,0,0,0,0
37501,1580169600,569,108,8,0,0,0,0
17697,1580169600,160,215,8,0,0,0,0
71696,1580169600,280,27,7,0,0,0,0
24364,1580169600,458,29,6,0,0,0,0
41204,1580169600,660,122,1,0,0,0,0
93027,1580169600,174,122,1,0,0,0,0
11404,1580169600,710,122,2,0,0,0,0
46247,1580169600,279,122,1,0,0,0,0
52230,1580169600,112,7,7,0,1,0,0
93545,1580169600,112,111,14,0,5,0,0
21800,1580169600,112,97,4,0,0,0,0
42079,1580169600,112,92,7,0,0,0,0
80286,1580169600,112,131,2,0,0,0,0
16446,1580169600,112,191,4,0,0,0,0
79156,1580169600,112,49,1,0,0,0,0
90260,1580169600,112,31,4,0,0,0,0
12573,1580169600,408,153,1,0,0,0,0
44643,1580169600,699,153,1,0,0,0,0
73434,1580169600,112,151,1,0,0,0,0
63845,1580169600,112,100,1,0,0,0,0
36635,1580169600,363,13,4,0,0,0,0
54905,1580169600,644,13,1,0,0,0,0
33285,1580169600,534,197,4,0,0,0,0
21431,1580256000,164,29,3554,125,88,25701,0
72359,1580256000,692,29,296,0,3,0,0
43861,1580256000,132,29,277,0,5,0,0
39313,1580256000,169,29,221,0,0,0,0
14149,1580256000,151,29,206,2,1,7506,0
54718,1580256000,168,29,152,0,2,0,0
53357,1580256000,28,29,147,0,1,0,0
98835,1580256000,527,29,130,0,1,0,0
59303,1580256000,557,29,111,1,4,6837,0
49283,1580256000,199,29,109,0,3,0,0
21953,1580256000,536,29,108,1,1,7079,0
43737,1580256000,198,29,99,0,1,0,0
85751,1580256000,528,29,96,1,5,8127,0
71213,1580256000,103,29,84,0,0,0,0
39586,1580256000,133,29,58,0,2,0,0
74684,1580256000,526,29,56,0,0,0,0
99081,1580256000,685,29,55,0,0,0,0
41467,1580256000,149,29,48,1,0,17213,0
62989,1580256000,140,29,43,1,0,18988,0
86182,1580256000,264,29,39,0,1,0,0
28592,1580256000,150,29,38,1,0,20958,0
68212,1580256000,583,29,27,0,0,0,0
81839,1580256000,529,29,27,0,1,0,0
60415,1580256000,109,29,24,0,0,0,0
79208,1580256000,177,29,16,0,0,0,0
70262,1580256000,675,29,13,0,0,0,0
12253,1580256000,371,29,12,0,0,0,0
81064,1580256000,160,215,10,0,0,0,0
64648,1580256000,137,29,9,0,1,0,0
66547,1580256000,200,29,9,0,0,0,0
90714,1580256000,569,108,8,0,0,0,0
49484,1580256000,280,27,7,0,0,0,0
32486,1580256000,458,29,6,0,0,0,0
51247,1580256000,660,122,1,0,0,0,0
25933,1580256000,174,122,1,0,0,0,0
52712,1580256000,710,122,2,0,0,0,0
44572,1580256000,279,122,1,0,0,0,0
84325,1580256000,112,7,7,0,1,0,0
44702,1580256000,112,111,14,0,5,0,0
79260,1580256000,112,97,4,0,0,0,0
46070,1580256000,112,92,7,0,0,0,0
77469,1580256000,112,131,2,0,0,0,0
69038,1580256000,112,191,5,0,0,0,0
77607,1580256000,112,49,1,0,0,0,0
64167,1580256000,112,31,7,0,0,0,0
38748,1580256000,408,153,1,0,0,0,0
65957,1580256000,699,153,1,0,0,0,0
10817,1580256000,112,151,1,0,0,0,0
84982,1580256000,112,100,1,0,0,0,0
50945,1580256000,363,13,4,0,0,0,0
65505,1580256000,644,13,1,0,0,0,0
21380,1580256000,534,197,4,0,0,0,0
40438,1580256000,112,189,1,0,0,0,0
20675,1580256000,112,126,4,0,0,0,0
98026,1580342400,164,29,4903,162,90,24696,0
42286,1580342400,692,29,428,0,4,0,0
87356,1580342400,132,29,354,0,10,0,0
83692,1580342400,151,29,278,2,2,4976,0
36947,1580342400,169,29,277,0,2,0,0
58695,1580342400,168,29,200,0,2,0,0
39678,1580342400,28,29,182,0,1,0,0
96932,1580342400,199,29,162,0,5,0,0
61995,1580342400,527,29,158,0,1,0,0
33683,1580342400,536,29,142,1,1,4826,0
24463,1580342400,198,29,129,0,1,0,0
86485,1580342400,557,29,114,1,4,6635,0
63954,1580342400,528,29,112,1,5,6768,0
13803,1580342400,103,29,101,0,0,0,0
64392,1580342400,133,29,78,0,2,0,0
94147,1580342400,685,29,70,0,0,0,0
99228,1580342400,149,29,65,1,0,12770,0
51003,1580342400,526,29,63,0,0,0,0
21664,1580342400,140,29,46,1,1,17893,0
69903,1580342400,150,29,44,2,0,30341,0
65949,1580342400,264,29,41,0,1,0,0
32121,1580342400,529,29,35,0,1,0,0
12534,1580342400,583,29,31,0,0,0,0
33615,1580342400,109,29,26,0,0,0,0
10663,1580342400,177,29,19,0,0,0,0
74778,1580342400,371,29,17,0,0,0,0
74754,1580342400,200,29,14,0,1,0,0
53384,1580342400,675,29,14,0,0,0,0
22362,1580342400,137,29,12,0,1,0,0
41110,1580342400,160,215,10,0,0,0,0
89557,1580342400,569,108,9,0,0,0,0
63455,1580342400,458,29,8,0,0,0,0
92151,1580342400,280,27,7,0,0,0,0
26677,1580342400,584,29,1,0,0,0,0
71118,1580342400,660,122,1,0,0,0,0
24904,1580342400,174,122,1,0,0,0,0
70970,1580342400,710,122,2,0,0,0,0
51073,1580342400,279,122,1,0,0,0,0
61420,1580342400,112,7,11,0,1,0,0
75391,1580342400,112,111,14,0,5,0,0
32153,1580342400,112,97,4,0,0,0,0
62460,1580342400,112,92,10,0,0,0,0
32919,1580342400,112,131,2,0,0,0,0
99158,1580342400,112,191,5,0,0,0,0
52260,1580342400,112,49,1,0,0,0,0
55983,1580342400,112,31,8,0,0,0,0
54591,1580342400,408,153,2,0,0,0,0
19840,1580342400,699,153,1,0,0,0,0
94722,1580342400,112,151,1,0,0,0,0
18278,1580342400,112,100,1,0,0,0,0
16082,1580342400,363,13,4,0,2,0,0
71683,1580342400,644,13,2,0,0,0,0
15794,1580342400,461,13,3,0,0,0,0
35757,1580342400,534,197,4,0,0,0,0
82948,1580342400,112,189,1,0,0,0,0
37857,1580342400,112,126,4,0,0,0,0
10727,1580342400,112,67,1,0,0,0,0
64809,1580342400,112,218,1,0,0,0,0
51611,1580428800,164,29,5806,204,141,25676,0
47310,1580428800,692,29,538,0,14,0,0
13467,1580428800,132,29,436,0,11,0,0
63822,1580428800,151,29,352,2,3,3504,0
47147,1580428800,169,29,332,0,2,0,0
80375,1580428800,199,29,240,0,7,0,0
35784,1580428800,168,29,237,0,3,0,0
42887,1580428800,28,29,211,0,1,0,0
79162,1580428800,527,29,184,0,2,0,0
82485,1580428800,536,29,177,1,1,3468,0
45818,1580428800,198,29,168,0,5,0,0
11034,1580428800,557,29,139,1,5,4976,0
97173,1580428800,528,29,135,1,9,5191,0
25636,1580428800,103,29,120,0,0,0,0
56971,1580428800,133,29,87,0,2,0,0
49451,1580428800,526,29,87,0,0,0,0
10490,1580428800,685,29,83,0,1,0,0
57677,1580428800,149,29,82,1,0,9790,0
79428,1580428800,150,29,59,2,0,25078,0
73439,1580428800,140,29,52,1,1,16102,0
34762,1580428800,264,29,48,0,1,0,0
34907,1580428800,529,29,39,0,1,0,0
50245,1580428800,583,29,32,0,0,0,0
88795,1580428800,137,29,29,0,2,0,0
27897,1580428800,109,29,29,0,0,0,0
19594,1580428800,371,29,21,0,0,0,0
81335,1580428800,177,29,20,0,1,0,0
90902,1580428800,675,29,17,0,0,0,0
70297,1580428800,200,29,14,0,1,0,0
12390,1580428800,160,215,12,0,0,0,0
46042,1580428800,569,108,10,0,0,0,0
59799,1580428800,458,29,8,0,0,0,0
32292,1580428800,280,27,7,0,0,0,0
21380,1580428800,584,29,1,0,0,0,0
40600,1580428800,112,111,19,0,5,0,0
88013,1580428800,112,7,15,0,1,0,0
15403,1580428800,112,92,13,0,0,0,0
87755,1580428800,112,97,11,0,0,0,0
30336,1580428800,112,31,8,0,0,0,0
97603,1580428800,112,191,5,0,0,0,0
88273,1580428800,534,197,5,0,0,0,0
79381,1580428800,363,13,4,0,2,0,0
13166,1580428800,112,126,4,0,0,0,0
76409,1580428800,644,13,3,0,0,0,0
80077,1580428800,174,122,2,0,0,0,0
10209,1580428800,710,122,2,0,0,0,0
26753,1580428800,112,131,2,0,0,0,0
27511,1580428800,408,153,2,0,0,0,0
35416,1580428800,461,13,2,0,0,0,0
38852,1580428800,112,4,2,0,0,0,0
52148,1580428800,112,121,2,0,0,0,0
35910,1580428800,112,77,2,0,0,0,0
88277,1580428800,660,122,1,0,0,0,0
70513,1580428800,279,122,1,0,0,0,0
84139,1580428800,112,49,1,0,0,0,0
57121,1580428800,699,153,1,0,0,0,0
55529,1580428800,112,151,1,0,0,0,0
36330,1580428800,112,100,1,0,0,0,0
18746,1580428800,112,189,1,0,0,0,0
84615,1580428800,112,67,1,0,0,0,0
51386,1580428800,112,218,1,0,0,0,0
67699,1580428800,112,105,1,0,0,0,0
64594,1580515200,164,29,7153,249,168,25517,0
87101,1580515200,692,29,599,0,21,0,0
96621,1580515200,132,29,535,0,14,0,0
39552,1580515200,151,29,422,2,3,2548,0
85030,1580515200,169,29,389,0,8,0,0
87306,1580515200,168,29,297,0,5,0,0
32972,1580515200,199,29,286,0,9,0,0
29301,1580515200,28,29,247,1,3,1953,0
11418,1580515200,536,29,207,1,3,2640,0
60681,1580515200,527,29,206,0,3,0,0
94119,1580515200,198,29,202,0,6,0,0
82951,1580515200,528,29,169,1,10,3740,0
42267,1580515200,557,29,168,1,9,3776,0
76598,1580515200,103,29,144,0,0,0,0
63432,1580515200,526,29,101,0,0,0,0
20585,1580515200,133,29,100,0,2,0,0
85563,1580515200,149,29,96,1,0,8127,0
65165,1580515200,685,29,93,0,2,0,0
23840,1580515200,150,29,80,2,2,20146,0
13092,1580515200,264,29,64,0,1,0,0
78517,1580515200,140,29,62,1,1,13451,0
23249,1580515200,529,29,47,0,1,0,0
72435,1580515200,583,29,41,0,0,0,0
88864,1580515200,109,29,40,0,0,0,0
34660,1580515200,137,29,29,0,2,0,0
11657,1580515200,371,29,26,0,0,0,0
28643,1580515200,177,29,23,0,1,0,0
51485,1580515200,112,7,20,0,1,0,0
90867,1580515200,112,111,19,0,5,0,0
72737,1580515200,675,29,18,0,0,0,0
54456,1580515200,200,29,17,0,1,0,0
30981,1580515200,112,92,16,0,0,0,0
84649,1580515200,160,215,13,0,0,0,0
56594,1580515200,112,97,12,0,0,0,0
37966,1580515200,569,108,10,0,0,0,0
33177,1580515200,458,29,9,0,0,0,0
94837,1580515200,112,31,8,0,0,0,0
67176,1580515200,112,197,8,0,0,0,0
70919,1580515200,280,27,7,0,0,0,0
42934,1580515200,112,191,6,0,0,0,0
69964,1580515200,112,131,6,0,1,0,0
34289,1580515200,363,13,4,0,2,0,0
64162,1580515200,644,13,4,0,0,0,0
51765,1580515200,112,126,4,0,0,0,0
17574,1580515200,461,13,3,0,0,0,0
48050,1580515200,408,153,3,0,0,0,0
22769,1580515200,112,4,2,0,0,0,0
53537,1580515200,112,77,2,0,0,0,0
93930,1580515200,112,121,2,0,0,0,0
55881,1580515200,25,122,2,0,0,0,0
32473,1580515200,549,13,1,0,0,0,0
72347,1580515200,112,151,1,0,0,0,0
39661,1580515200,699,153,1,0,0,0,0
54114,1580515200,112,189,1,0,0,0,0
49418,1580515200,112,218,1,0,0,0,0
59722,1580515200,584,29,1,0,0,0,0
91514,1580515200,112,49,1,0,0,0,0
52114,1580515200,112,67,1,0,0,0,0
63609,1580515200,112,99,1,0,0,0,0
67129,1580515200,112,100,1,0,0,0,0
86897,1580515200,112,105,1,0,0,0,0
32614,1580515200,695,122,1,0,0,0,0
51636,1580515200,273,122,1,0,0,0,0
97893,1580515200,410,122,1,0,0,0,0
83453,1580515200,509,122,1,0,0,0,0
55767,1580515200,522,122,1,0,0,0,0
69298,1580515200,577,122,1,0,0,0,0
17311,1580601600,164,29,11177,350,295,23814,0
59151,1580601600,692,29,661,0,32,0,0
13521,1580601600,132,29,632,0,15,0,0
71332,1580601600,151,29,493,2,10,1961,0
91272,1580601600,169,29,463,0,16,0,0
86338,1580601600,168,29,340,0,7,0,0
72984,1580601600,199,29,333,0,12,0,0
18317,1580601600,28,29,300,2,7,4450,0
41677,1580601600,198,29,236,0,7,0,0
48287,1580601600,536,29,231,1,11,2172,0
18782,1580601600,527,29,230,0,6,0,0
15334,1580601600,557,29,191,1,9,3054,0
50014,1580601600,528,29,182,1,10,3301,0
57438,1580601600,103,29,159,0,0,0,0
69852,1580601600,526,29,116,0,0,0,0
52873,1580601600,133,29,111,0,2,0,0
30785,1580601600,685,29,105,0,3,0,0
15802,1580601600,149,29,104,1,3,7432,0
90967,1580601600,150,29,95,2,2,17374,0
68584,1580601600,264,29,70,0,1,0,0
33994,1580601600,529,29,66,0,3,0,0
28097,1580601600,140,29,64,1,4,12995,0
64991,1580601600,109,29,51,0,3,0,0
24188,1580601600,583,29,48,0,1,0,0
82203,1580601600,137,29,38,0,2,0,0
44466,1580601600,371,29,28,0,0,0,0
52129,1580601600,177,29,27,0,1,0,0
61741,1580601600,200,29,23,0,1,0,0
67212,1580601600,675,29,21,0,0,0,0
96331,1580601600,112,7,20,0,1,0,0
55109,1580601600,112,111,19,0,5,0,0
47420,1580601600,112,92,18,0,0,0,0
23109,1580601600,160,215,15,0,0,0,0
83999,1580601600,112,97,15,0,0,0,0
10071,1580601600,458,29,11,0,0,0,0
47866,1580601600,112,197,10,0,0,0,0
32630,1580601600,569,108,10,0,0,0,0
60185,1580601600,280,27,8,0,0,0,0
73604,1580601600,112,31,8,0,0,0,0
53846,1580601600,112,191,6,0,0,0,0
62709,1580601600,112,131,6,0,1,0,0
53566,1580601600,112,126,5,0,0,0,0
94823,1580601600,363,13,4,0,2,0,0
34765,1580601600,644,13,4,0,0,0,0
74119,1580601600,408,153,3,0,0,0,0
